C,111.0,88.0,-143.0,-136.0,362.0,318.0,1.0,1.0,0.0,0xcccc33ff
R,2.0,565.0,-35.0,569.0,1290.0,215.0,1.0,1.0,0.0,0x336633ff
R,104.0,377.0,104.0,377.0,47.0,291.0,1.0,1.0,0.0,0x994d00ff
R,730.0,333.0,719.0,326.0,424.0,333.0,1.0,1.0,0.0,0x334db3ff
T,548.0,72.0,548.0,72.0,762.0,288.0,1.0,1.0,0.0,0xe64d4dff
R,384.0,411.0,786.0,509.0,68.0,149.0,1.0,1.0,0.0,0x993300ff
C,425.0,418.0,787.0,580.0,32.0,26.0,0.598,0.598,0.0,0x000000ff
R,284.0,353.0,919.0,492.0,155.0,82.0,1.4019999999999997,1.4019999999999997,360.0,0xccffffff
T,8.0,261.0,-52.0,318.0,356.0,294.0,0.7319999999999999,0.7319999999999999,0.0,0x228b22ff
T,317.0,526.0,-17.0,347.0,281.0,187.0,0.8659999999999999,0.8659999999999999,0.0,0x228b22ff
T,230.0,270.0,-21.0,303.0,288.0,200.0,0.7319999999999999,0.7319999999999999,0.0,0x228b22ff
T,293.0,312.0,29.0,287.0,185.0,145.0,0.8659999999999999,0.8659999999999999,0.0,0x228b22ff
C,323.0,567.0,306.0,493.0,79.0,132.0,1.0,1.0,0.0,0x008000ff
C,362.0,482.0,362.0,482.0,111.0,204.0,1.0,1.0,0.0,0x008000ff
C,344.0,443.0,344.0,443.0,93.0,169.0,1.0,1.0,0.0,0x008000ff
C,287.0,522.0,288.0,514.0,122.0,183.0,1.0,1.0,0.0,0x008000ff
T,320.0,93.0,50.0,332.0,197.0,113.0,0.19599999999999984,0.19599999999999984,690.0,0xb34d1aff
T,248.0,252.0,44.0,413.0,58.0,70.0,0.32999999999999985,0.32999999999999985,270.0,0xb3661aff
T,246.0,279.0,149.0,436.0,80.0,122.0,0.19599999999999984,0.19599999999999984,15.0,0xb3661aff
R,518.0,546.0,518.0,546.0,33.0,79.0,1.0,1.0,0.0,0xb3661aff
R,551.0,480.0,500.0,501.0,32.0,61.0,1.0,1.0,1050.0,0xb3661aff
R,548.0,486.0,557.0,523.0,22.0,63.0,1.0,1.0,465.0,0xb3661aff
R,536.0,418.0,537.0,463.0,25.0,86.0,1.0,1.0,15.0,0xb3661aff
C,494.0,377.0,508.0,412.0,109.0,92.0,0.7319999999999999,0.7319999999999999,0.0,0x1a4d1aff
T,384.0,349.0,457.0,445.0,100.0,89.0,1.0,1.0,90.0,0x228b22ff
T,585.0,515.0,608.0,517.0,35.0,75.0,1.0,1.0,1155.0,0x669966ff
